QUESTION_ID,CATEGORY,QUESTION,AUDIENCE,SHORT_DESCRIPTION,MAIN_EXPLANATION,BUYER_GUIDANCE,SELLER_GUIDANCE,KEY_POINTS,VIDEO_SCRIPT_FULL,VIDEO_SCRIPT_SHORT,DISCLAIMER
GS01,Getting Started,Why do I have to fill all this in?,BOTH,Why sellers must disclose property information and what happens if they don't.,"When you sell a home, the buyer is making one of the largest financial decisions of their life. The questions you answer give them the information they need to make that decision safely — and your answers can form part of the binding sale contract.

You are legally responsible for your answers. Providing misleading information — even accidentally — can result in the buyer claiming compensation after the sale completes.

Leaving questions blank is not the same as saying 'not known.' Blanks cause delays and raise red flags. If you genuinely don't know something, say so explicitly.

The Three Golden Rules for Sellers:
• Answer everything — even if the answer is 'not known'
• Be truthful and complete — partial disclosure is almost as bad as none
• Tell your solicitor immediately if any answers change before completion","The seller's disclosure is your starting point, not your safety net. Use it alongside an independent building survey, your solicitor's searches, and your own observations from viewings. If you receive any additional information about the property from the estate agent, seller, or online, tell your solicitor.","Check your paperwork — not just your memory. Gather planning permissions, guarantees, warranties, and certificates before you start. If something changes after you have submitted your answers, tell your solicitor immediately.","• Sellers are legally responsible for their answers
• Misleading a buyer — even accidentally — can lead to compensation claims
• 'Not known' is acceptable; blank answers are not
• Tell your solicitor immediately if anything changes","[INTRO]
""If you're buying or selling a home in England or Wales, you need to know about property disclosure. Getting it wrong can cost you thousands of pounds.

[WHAT IS IT?]
The information a seller provides covers boundary disputes, flooding history, planning permissions, guarantees on building work, and much more. The buyer relies on it.

[FOR SELLERS]
You must answer every question honestly. If you mislead a buyer — even accidentally — they could claim compensation after completion. If you genuinely don't know something, just say so. That's perfectly acceptable.

[FOR BUYERS]
The disclosure is a great starting point, but it's not a substitute for a survey. Your seller can only tell you what they know.

[CLOSE]
Answer honestly. Read carefully. And we'll go through every question together.""","""Why do you have to answer all these property questions? Because what you disclose becomes part of the legal sale process. Mislead a buyer — even by accident — and they can claim compensation after completion. If you don't know something, say 'not known.' Never leave it blank. #PropertySale #UKProperty""",This content is for general educational purposes only — not legal advice. Always consult a qualified solicitor for guidance specific to your situation.
GS02,Getting Started,Who should be answering these questions?,SELLER,"Who must complete and sign property disclosure — owners, executors, attorneys, and companies.","The legal owner of the property must answer — the person or people named on the Land Registry title or the title deeds.

• Standard owner: Complete it yourself as the registered owner
• Executor or Administrator: Selling on behalf of a deceased estate — gather information from people who knew the property
• Attorney: Completing under a power of attorney — must have valid legal authority to sell
• Trustee: Completing on behalf of a trust arrangement
• Company seller: A director or person authorised by a director completes the information

The Signing Rule: ALL sellers must sign. If two or more people own the property, every owner must sign. One person cannot sign on behalf of another without specific legal authority to do so.","If the seller is an executor, attorney, or trustee, they may have limited personal knowledge of the property's history. Commission a thorough building survey and ask your solicitor about areas where the disclosure says 'not known.'","Check who is named on the Land Registry title — those are the people who need to sign. If anyone named has died or lost capacity, tell your solicitor before you begin. If acting as executor, gather whatever paperwork exists and note where gaps are.","• Must be completed by the legal owner named on the Land Registry title
• ALL owners must sign — one cannot sign for another without legal authority
• Executors, attorneys, and trustees can complete it — but remain legally responsible
• When in doubt, ask your solicitor before starting","[INTRO]
""Before you start answering questions about your property, there's an important one to answer first: are you actually the right person to be filling this in?

[THE BASICS]
The legal owner — whoever is named on the Land Registry title — should answer.

[EXCEPTIONS]
If you're an executor or attorney, you complete it on behalf of the legal owner — but you're still legally responsible for what you sign.

[ALL OWNERS MUST SIGN]
If two people own the property, both must sign. You can't sign for your co-owner without specific legal authority.

[CLOSE]
Not sure if you're the right person? Ask your solicitor before you start.""","""Quick check before you start: are you the legal owner on the Land Registry title? If two people own it, both must sign. Executors and attorneys can complete it — but you're still legally responsible. Not sure? Ask your solicitor first. #PropertySale #ConveyancingUK""",This content is for general educational purposes only — not legal advice. Always consult a qualified solicitor for guidance specific to your situation.
BD01,Boundaries,Who is responsible for your property boundaries?,BOTH,"Boundary ownership and maintenance responsibility — left, right, rear, and front.","Looking at your property from the road, you will be asked who owns or is responsible for maintaining the boundary features on each side. The options are: You / Your Neighbour / Shared / Not Known.

How to find out: Check your title deeds for boundary markers:
• A T-mark pointing inward toward your property = that boundary is your responsibility
• An H-mark = shared responsibility with the neighbour

If you cannot find clear documentation, 'Not Known' is a valid and honest answer. Do not guess.

Common misconceptions:
• A fence on the left does not automatically mean the left boundary is your responsibility
• Title plans show general boundary positions, not precise legal lines
• The presence of a fence does not indicate its ownership","If you plan to erect a fence or build near a boundary, confirm which boundaries you own before exchange. The physical boundary you see at a viewing may not match the legal boundary on the title plan. Ask your solicitor to investigate if this matters to your plans.","Check your title deeds before answering. If you are not sure, 'Not Known' is always better than a wrong guess that later causes a dispute.","• Check title deeds for T-marks and H-marks before answering
• 'Not Known' is always better than guessing
• Physical fences do not automatically indicate legal ownership
• Boundary disputes are one of the most common causes of neighbour conflicts","[INTRO]
""Boundary responsibility — one of those things most homeowners have never thought about. Until there's a dispute. And then it becomes very expensive.

[THE QUESTION]
You will be asked: looking at your property from the road, who is responsible for each boundary? The options are: you, your neighbour, shared, or not known.

[HOW TO FIND OUT]
Check your title deeds. T-marks pointing inward mean that boundary is yours. An H-mark means shared. If you can't find anything clear, 'Not Known' is perfectly valid.

[FOR BUYERS]
If you plan to put up a fence or build near the boundary — your solicitor needs to investigate this before you exchange.

[CLOSE]
Boundaries: worth getting right at the start.""","""Who maintains your property boundaries? Check title deeds for T-marks — a T pointing toward your garden means it's yours. An H means it's shared. Can't work it out? Answer 'not known' — always better than a wrong guess. #PropertyBoundaries #HomeSelling""",This content is for general educational purposes only — not legal advice. Always consult a qualified solicitor for guidance specific to your situation.
BD02,Boundaries,Have any of your property boundaries ever been moved or changed?,BOTH,"Boundary changes, land additions, and neighbour encroachments that must be disclosed.","You need to disclose if you are aware of:
• A fence, wall, hedge, or other boundary feature being moved
• Land bought from a neighbour and added to the property
• A neighbour building on or encroaching on any part of your property
• Any change in how physical boundaries relate to the title plan

This applies even if the change happened before your ownership — if you know about it, you must disclose it.

An undocumented boundary change can cause serious legal complications for a buyer. If the physical boundaries do not match the official Land Registry title plan, future disputes become harder to resolve.","If a boundary change is disclosed, ask your solicitor to check whether it is properly reflected in the Land Registry title. Compare what you see physically during your viewing with the title plan. Any discrepancy should be flagged to your solicitor immediately.","Even if a boundary change feels like ancient history, disclose it. Your solicitor can help you frame the answer appropriately. If you bought extra land from a neighbour, check whether it was properly registered at the time.","• Disclose any boundary changes you are aware of — even historic ones
• Changes that are not registered at Land Registry create legal uncertainty
• Physical and legal boundaries do not always match
• Your solicitor can advise on how to handle this in the sale","[INTRO]
""Has a fence been moved? Has a neighbour built over your boundary? This is what this question is asking.

[WHY IT MATTERS]
Any boundary change that has not been officially recorded creates a legal grey area. The title plan may show one thing but the physical reality is different.

[WHAT TO DISCLOSE]
If you know about any boundary change — even decades ago, even not your doing — you need to say so.

[FOR BUYERS]
During your viewing, compare what you see physically with the title plan. If they don't match, tell your solicitor before exchange.

[CLOSE]
Boundary changes: disclose what you know, let your solicitor advise on the rest.""","""Has a boundary at your property ever been moved — fence shifted, land added, neighbour encroaching? Disclose it. Even if it happened before you owned it. An undisclosed boundary change can create serious legal problems. #BoundaryDispute #PropertySale""",This content is for general educational purposes only — not legal advice. Always consult a qualified solicitor for guidance specific to your situation.
BD03,Boundaries,Does any part of your property overhang or extend beyond its boundary?,BOTH,"Overhanging eaves, gutters, underground extensions, and other features that cross the legal boundary.","Some buildings have physical elements that extend beyond the legal boundary. These are more common than people think. Examples include:
• Overhanging roof eaves projecting into the neighbour's airspace
• Gutters or pipes crossing the boundary line
• Underground cellars extending beneath a neighbouring property or public pavement
• Upper-storey rooms sitting above a neighbour's passageway

Features that have been in place for a long time — especially those mentioned in the title deeds — generally have established legal rights to remain. But they need to be properly documented so the buyer understands what they are taking on.",An overhanging feature is not automatically a dealbreaker. What matters is whether the right to maintain it is properly established. Your solicitor will check whether the feature is mentioned in the title deeds or whether rights have been established through long use.,"Look carefully at your building from the outside. Do your eaves, gutters, or pipes cross into next door's airspace? If you are not sure, your surveyor or solicitor can help you check. Disclose anything you are aware of.","• Features crossing the boundary are more common than people think
• Long-established features usually have legal rights to remain
• They must be disclosed so they can be addressed in the legal documents
• Indemnity insurance may be available if documentation is missing","[INTRO]
""Here's something that surprises a lot of sellers: part of your house might physically sit beyond your legal boundary.

[EXAMPLES]
Overhanging roof eaves. Gutters that extend into the neighbour's airspace. Underground cellars that go beneath the pavement.

[IS THIS A PROBLEM?]
Usually not. Features that have been in place for a long time generally have established rights to stay. But they need to be documented.

[CLOSE]
Overhanging features: common, usually fine, always worth disclosing.""","""Does your roof overhang into next door's airspace? Do your gutters cross the boundary? These are overhanging features — your buyer needs to know. Usually not a problem if long-established, but they must be disclosed. #PropertySale #Boundaries""",This content is for general educational purposes only — not legal advice. Always consult a qualified solicitor for guidance specific to your situation.
BD04,Boundaries,Have you carried out building work near a shared boundary or wall?,BOTH,"Party Wall Act requirements, what notices are needed, and why missing documentation matters.","Certain building works near a shared boundary or party wall require you to give your neighbours formal written notice before you start. This is a legal requirement under the Party Wall etc. Act 1996.

When is notice required:
• Constructing a new wall on or at the boundary line
• Carrying out work to a shared wall — including extensions
• Excavating within 3-6 metres of a neighbouring building

Common projects that trigger this: loft conversions, rear extensions, basement excavations.

What notice looks like: A formal written notice sent to each affected neighbour. Any resulting agreement is documented in a Party Wall Award. Missing party wall notices for relevant work can raise questions about whether the work was done correctly.","Party wall documentation shows that relevant building work was carried out with proper legal notice to neighbours. If significant work was done without the required notice, ask your solicitor to assess whether this creates any risk.","Look through your files for any party wall notices sent to or received from neighbours, and any party wall award or agreement documents. If you had work done and cannot find notices, tell your solicitor — indemnity insurance may be the solution.","• The Party Wall Act requires formal written notice before certain works near shared boundaries
• Triggered by: extensions using shared walls, loft conversions, deep excavations
• All notices and party wall awards should be provided with the property information
• Missing notices can be covered by indemnity insurance in some cases","[INTRO]
""Planning permission isn't the only legal hurdle for home improvements. If you've done building work near a shared boundary, there's a separate legal process you may have needed to follow.

[WHAT IS IT?]
The Party Wall etc. Act 1996 requires you to give your neighbours formal written notice before certain works — extensions, loft conversions, deep excavations.

[FOR SELLERS]
Look through your paperwork. If you did any of these kinds of works, find those notices and include them.

[FOR BUYERS]
If major work was done without notices, your solicitor will advise whether indemnity insurance is appropriate.

[CLOSE]
Party wall notices: small piece of paperwork, potentially big importance.""","""Extension, loft conversion, or excavation near a shared boundary? You may have needed to serve Party Wall Notices. Your buyer will ask for the documentation. Can't find it? Tell your solicitor — indemnity insurance might be the solution. #PartyWall #PropertySale""",This content is for general educational purposes only — not legal advice. Always consult a qualified solicitor for guidance specific to your situation.
DN01,Disputes and Notices,Have there been any disputes or complaints about your property or a nearby property?,BOTH,"What must be disclosed about past and present disputes, including informal neighbourhood conflicts.","You must disclose any disputes or complaints — past or current. This is broader than most sellers expect. It includes:
• Formal legal disputes and solicitors' letters
• Complaints to the council about a neighbour (or from a neighbour about you)
• Arguments about noise, parking, access, boundaries, or trees
• Disputes about shared facilities or communal areas

Resolved disputes still need to be disclosed. Even if something was sorted out amicably years ago, if you are aware of it, you must say so.

Failing to disclose a known dispute that a buyer later discovers is one of the most common grounds for post-completion compensation claims.","If disputes are disclosed, ask for full details: what happened, when, who was involved, and how it was resolved. Ask your solicitor whether the underlying issue could recur. Consider making your own enquiries with neighbours before exchange.","Be honest, even if it feels uncomfortable. Your solicitor can help you phrase disclosures appropriately. Ask yourself: any formal complaints? Any argument involving a professional or the council? If yes, disclose it.","• Disclose ALL disputes — past or present, formal or informal
• Resolved disputes still need to be disclosed
• Noise, parking, access, boundary, and tree disputes all count
• Hiding a known dispute is a common ground for post-completion compensation claims","[INTRO]
""This is the question that catches more sellers out than almost any other: have there been any disputes or complaints about your property — or a property nearby?

[HOW BROAD IS 'DISPUTE'?]
Much broader than most people think. Arguments about parking. Complaints about noise. A row about a tree. A complaint to the council. Past disputes count too.

[THE RISK OF STAYING SILENT]
If a buyer discovers a dispute you knew about but didn't disclose — that's grounds for a compensation claim.

[CLOSE]
Disputes: disclose them honestly. Every one you know about.""","""Had a dispute with a neighbour? A complaint from the council? Even a heated argument about parking? Your buyer needs to know — even if it was resolved years ago. Hiding it is a common reason sellers face compensation claims. #NeighbourDispute #HomeSelling""",This content is for general educational purposes only — not legal advice. Always consult a qualified solicitor for guidance specific to your situation.
DN02,Disputes and Notices,Have you received any official notices or communications about your property?,BOTH,"Council notices, planning applications, road proposals, and other formal communications that must be disclosed.","You should disclose any formal notices or official correspondence that might affect the property or the surrounding area, including:
• Planning applications from you or a neighbour
• Council proposals for road changes or new parking restrictions
• Compulsory purchase proposals or consultations
• Conservation area or listed building designation consultations
• Tree preservation orders being placed on trees
• Notices from utility companies about works in the area
• Enforcement notices from the local authority about any nearby property
• Highways notices about road adoption or improvements

Notices can arrive as printed letters, emails, or planning consultation leaflets.","Even if nothing is disclosed, your solicitor's local authority search will pick up many relevant issues. However, searches have a time lag — very recent proposals may not appear. Check the local planning portal directly if you are concerned about nearby development.","Go through your paperwork and emails. Have you received anything from the council, a neighbour's architect, a utility company, or the highways authority? Even planning consultation letters about developments nearby could be relevant.","• Disclose all formal notices and official correspondence received
• Includes planning applications, road proposals, utility notices, and enforcement actions
• Your solicitor's searches will catch many things — but not everything recent
• Check your files and emails before answering","[INTRO]
""This question is about official notices — formal communications you've received that might affect your property or the area.

[EXAMPLES]
Planning applications from a neighbour. Council proposals for road changes. Letters about a nearby development. Utility company notices.

[FOR SELLERS]
Check your files and your inbox. Even planning consultation leaflets count.

[FOR BUYERS]
Your solicitor's local authority search will catch a lot — but not the most recent proposals. Check the local planning portal directly if concerned.

[CLOSE]
Notices: easy to forget, important to disclose.""","""Received any letters from the council? Planning notices? Road change proposals? Your buyer needs to know. Official notices about anything affecting your property or area must be disclosed. Check your files. #PlanningPermission #PropertySale""",This content is for general educational purposes only — not legal advice. Always consult a qualified solicitor for guidance specific to your situation.
BW01,Building Works,Has any building work been carried out at the property?,BOTH,"Planning permission, building regulations approval, and competent person certificates for home improvements.","Any significant changes to the property should be disclosed, including: extensions, loft conversions, garage conversions, conservatories, replacement windows and doors (since April 2002), removal of internal walls or chimney breasts, insulation, and any other structural or significant building work.

The Three Types of Documentation:

1. Planning Permission — Required when work changes the external appearance of the building. Some work is 'Permitted Development' and doesn't need it — but this doesn't mean no documentation is needed.

2. Building Regulations Approval — Required for structural works, extensions, conversions, and many alterations regardless of planning permission. A Completion Certificate is issued once works are signed off by an inspector.

3. Competent Person Certificates — Certain trades can self-certify: FENSA for windows, Gas Safe for gas, NAPIT or NICEIC for electrics. These replace the need for building control for that specific work.

If documentation is missing, your solicitor may recommend indemnity insurance to protect against the risk of enforcement.","Building works without proper documentation carry real risks — the work may not meet required standards and the local authority could require remediation. If significant works are disclosed without corresponding approvals, your solicitor will advise on whether indemnity insurance is appropriate.","Gather all paperwork for any works done during your ownership: planning permissions, building regulations completion certificates, competent person certificates, and any architect or structural engineer reports. If documents are lost, your solicitor can advise — sometimes they can be retrieved from the local authority.","• Disclose all significant building works — extensions, conversions, new windows, structural changes
• Three types of documentation may be needed: planning permission, building regulations approval, competent person certificates
• Permitted Development does not mean no documentation is needed
• Missing certificates can be covered by indemnity insurance in many cases","[INTRO]
""Has any building work been done at your property? Extension? Loft conversion? New windows? Knocked through walls? This is one of the most important areas — and one where missing paperwork causes the most delays.

[THREE TYPES NEEDED]
Planning Permission — if the work changed the outside. Building Regulations Approval — about safety, needed for most structural work. Competent Person Certificates — self-certified by trades like FENSA or Gas Safe.

[FOR SELLERS]
Dig out your paperwork. Lost a certificate? Tell your solicitor — sometimes they can be retrieved, or indemnity insurance might be the solution.

[FOR BUYERS]
Missing documentation doesn't always mean bad work — but it means no official verification. Make sure it's properly addressed before you exchange.

[CLOSE]
Building works and paperwork: get them matched up before you list.""","""Extension? Loft conversion? New windows? Any significant building work needs: planning permission (if applicable), building regulations approval, and competent person certificates. Missing paperwork delays sales — get it all together now. #BuildingWorks #HomeSelling""",This content is for general educational purposes only — not legal advice. Always consult a qualified solicitor for guidance specific to your situation.
BW02,Building Works,Does the property have solar panels or a solar power system?,BOTH,"Owned vs leased solar systems, Feed-in Tariffs, Smart Export Guarantee, and mortgage implications.","Two very different situations:

Situation 1 — You own the panels: You paid for them. They transfer with the property. Simpler for mortgage lenders.

Situation 2 — Provider-owned under a roof lease: A company installed the panels for free in exchange for a long lease of your roof or airspace (typically 20-25 years). The provider owns the panels — not you. A roof lease granted to a third party can affect the buyer's ability to get a mortgage.

Feed-in Tariff (FIT): Closed to new applicants since April 2019. Where panels were owner-paid, FIT payments can transfer to the buyer.

Smart Export Guarantee (SEG): The current scheme (launched January 2020) allowing surplus electricity to be sold back to the National Grid.

Information needed: who owns the panels, roof lease details, installation year, FIT or SEG agreement, battery storage details, and maintenance agreement.",Tell your mortgage lender about any solar arrangement before proceeding. Find out whether they will lend on properties with a roof lease — some lenders won't. Check whether any FIT or SEG income transfers to you as the buyer.,"Contact your solar panel provider and gather: the original installation agreement, details of who owns the panels, any roof lease documentation, FIT or SEG agreement documents, your most recent electricity bill, and the MCS installation certificate.","• Owner-purchased panels: straightforward — transfer with the property
• Provider-installed under a roof lease: complex — can affect mortgage availability
• Disclose: ownership details, roof lease (if any), FIT/SEG agreements, MCS certificate
• Buyers must check with their mortgage lender before proceeding","[INTRO]
""Solar panels — increasingly common on UK homes and potentially complicated when selling.

[THE KEY QUESTION]
Two situations: you own the panels — simple. Or a company installed them for free and took a lease of your roof — complex.

[WHY THE ROOF LEASE MATTERS]
A company holding a lease on your roof can affect the buyer's mortgage. Some lenders won't lend on these arrangements.

[SELLERS]
Contact your solar provider. Get all paperwork: ownership details, any lease, FIT or SEG agreement, MCS certificate.

[BUYERS]
Tell your mortgage lender about any solar arrangement before you go further.

[CLOSE]
Solar panels: a great asset with paperwork that needs to be in order.""","""Do you OWN your solar panels, or did a company install them for free and take a lease of your roof? These are very different situations. A roof lease can affect the buyer's mortgage — some lenders won't lend on it. Get your solar paperwork together before you sell. #SolarPanels #PropertySale""",This content is for general educational purposes only — not legal advice. Always consult a qualified solicitor for guidance specific to your situation.
BW03,Building Works,Is your property a listed building?,BOTH,"Listed building status, planning controls, consent requirements, and the enforcement risks for buyers and sellers.","A listed building is one officially recognised as having special architectural or historic interest.
• Grade I — Highest significance (around 2% of listed buildings)
• Grade II* — Particularly important (around 6%)
• Grade II — Nationally important (around 92%)

Key rules:
• Listed building consent is required for any alterations affecting the character of the building — inside AND outside
• Even replacing windows with identical-looking ones may require consent
• Enforcement for unauthorised works has NO TIME LIMIT
• A current owner can face enforcement for work done by a previous owner

Where to check:
• England: historicengland.org.uk/listing/the-list
• Wales: cadw.gov.wales",Commission a specialist listed buildings survey — not just a standard homebuyer report. Ask your solicitor to check the history of any alterations and whether listed building consent was obtained. Understand that you are taking on legal responsibility for the building's listed status and all that entails.,"Declare your listed status. Think carefully about any works carried out during your ownership — was consent obtained for kitchen renovations, new windows, structural changes? If any work was done without consent, your solicitor needs to know.","• Listed building consent is needed for most changes — inside and outside
• No time limit on enforcement action — applies to all owners past and present
• A buyer can face action for work done by a previous owner
• Specialist listed buildings survey is strongly recommended for buyers","[INTRO]
""Is your property a listed building? Simple question, significant implications.

[WHAT LISTING MEANS]
Listed building consent is required for changes — inside or outside. Even certain repairs. And enforcement has no time limit — action can be taken decades after work was done, against the current owner.

[FOR SELLERS]
Think about any works done during your ownership. Was consent obtained? Tell your solicitor.

[FOR BUYERS]
Get a specialist listed buildings surveyor. Have your solicitor specifically investigate the history of any alterations.

[CLOSE]
Listed buildings are wonderful — but they come with serious responsibilities.""","""Selling a listed building? Any alterations — inside or outside — needed listed building consent. Enforcement has NO time limit — a buyer could face action for work done by a previous owner. Disclose everything. #ListedBuilding #PropertySale""",This content is for general educational purposes only — not legal advice. Always consult a qualified solicitor for guidance specific to your situation.
